city,route_id,route_short_name
"limassol","10030011","3"
"limassol","10030012","3"
"limassol","10040011","4"
"limassol","10040012","4"
"limassol","10040021","4"
"limassol","10040022","4"
"limassol","10050021","5"
"limassol","10050022","5"
"limassol","10070011","7"
"limassol","10070012","7"
"limassol","10090011","9"
"limassol","10090012","9"
"limassol","10090022","9"
"limassol","10110011","11"
"limassol","10110012","11"
"limassol","10120011","12"
"limassol","10120012","12"
"limassol","10130011","13"
"limassol","10130012","13"
"limassol","10140011","14"
"limassol","10140012","14"
"limassol","10150011","15"
"limassol","10150012","15"
"limassol","10160021","16"
"limassol","10160022","16"
"limassol","10170011","17"
"limassol","10170012","17"
"limassol","10180021","18"
"limassol","10180022","18"
"limassol","10190011","19"
"limassol","10190012","19"
"limassol","10200011","20"
"limassol","10200012","20"
"limassol","10210011","21"
"limassol","10210012","21"
"limassol","10230011","23"
"limassol","10230012","23"
"limassol","10230021","23"
"limassol","10240011","24"
"limassol","10240012","24"
"limassol","10250011","25"
"limassol","10250012","25"
"limassol","10250021","25"
"limassol","10250022","25"
"limassol","10260011","26"
"limassol","10260012","26"
"limassol","10260021","26"
"limassol","10260022","26"
"limassol","10270011","27"
"limassol","10270012","27"
"limassol","10270021","27"
"limassol","10270022","27"
"limassol","10300011","30"
"limassol","10300012","30"
"limassol","10300021","30"
"limassol","10300031","30"
"limassol","10320011","32"
"limassol","10330011","33"
"limassol","10330012","33"
"limassol","10350011","35"
"limassol","10350012","35"
"limassol","10400011","40"
"limassol","10400012","40"
"limassol","10400021","40"
"limassol","10400022","40"
"limassol","10400031","40"
"limassol","10400032","40"
"limassol","10500011","50"
"limassol","10500012","50"
"limassol","10600011","60"
"limassol","10600012","60"
"limassol","10600021","60"
"limassol","10600022","60"
"limassol","10600031","60"
"limassol","10600041","60"
"limassol","10600042","60"
"limassol","10610011","61"
"limassol","10610012","61"
"limassol","10620011","62"
"limassol","10620012","62"
"limassol","10640011","64"
"limassol","10640012","64"
"limassol","10650011","65"
"limassol","10650012","65"
"limassol","10650021","65"
"limassol","10650022","65"
"limassol","10660011","66"
"limassol","10660012","66"
"limassol","10700011","70"
"limassol","10700012","70"
"limassol","10710011","71"
"limassol","10710012","71"
"limassol","10800011","80"
"limassol","10800012","80"
"limassol","10900011","90"
"limassol","10900012","90"
"limassol","10910011","91"
"limassol","10910012","91"
"limassol","10950011","95"
"limassol","10950012","95"
"limassol","10960011","96"
"limassol","10960012","96"
"limassol","15030011","9A"
"limassol","15030012","9A"
"limassol","15040011","13A"
"limassol","15070011","19A"
"limassol","15070012","19A"
"limassol","15080011","25A"
"limassol","15080012","25A"
"limassol","15080021","25A"
"limassol","15080022","25A"
"limassol","15080031","25A"
"limassol","15080032","25A"
"limassol","15100011","30N"
"limassol","15100012","30N"
